,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
658,DeepSight AI Labs,https://www.crunchbase.com/organization/deepsight-ai-labs,"Artificial Intelligence, Internet of Things, Machine Learning","Bangalore, Karnataka, India","Deep Sight Labs is a  Go Deep Platform makes the dumb CCTV cameras into Smart CCTV cameras where we can detect Fire, Intrusion, Weapon etc",2018,01/01/2018,http://deepsightlabs.com,12.966180000000065,77.58690000000007
659,YLG Salon,https://www.crunchbase.com/organization/ylg-salon,"Beauty, E-Commerce, Fashion, Lifestyle, Retail, Women's","Bangalore, Karnataka, India",YLG Salon is a beauty destination in India that offers professional beauty services.,2009,01/01/2009,https://www.ylgindia.com/,12.991520000000037,77.57157000000007
660,Kvion Inc,https://www.crunchbase.com/organization/kvion-inc,"Information Technology, Web Hosting","Bangalore City, Karnataka, India","Kvion Inc provides domain registration; web, reseller, and VPS hosting; and dedicated server services worldwide.",2014,26/09/2014,http://www.kvion.com,12.966180000000065,77.58690000000007
661,99doing,https://www.crunchbase.com/organization/filmysphere-entertainment-pvt-ltd,"Events, Internet, Online Auctions","Bangalore, Karnataka, India","Discover and Book interesting things to do - Plays, Events and More",2013,24/12/2013,http://99doing.com,12.966180000000065,77.58690000000007
662,BrainSightAI,https://www.crunchbase.com/organization/brainsightai,"Health Care, Health Diagnostics, Neuroscience, Psychology, SaaS","Bangalore, Karnataka, India",BrainSightAI is an MRI-based SaaS platform to enable greater precision in neurological and psychiatric investigation.,2019,01/01/2019,https://www.brainsightai.com,12.966180000000065,77.58690000000007
663,Motor Chronicles,https://www.crunchbase.com/organization/motor-chronicles,"Automotive, Brand Marketing","Bangalore, Karnataka, India","Automotive Media, Events, Customer Engagement, Campaigns, Moto Store and Cafe, Campsites",2012,21/04/2012,http://www.motorchronicles.in,12.966180000000065,77.58690000000007
664,AxisRooms,https://www.crunchbase.com/organization/axisrooms,"SaaS, Software, Travel","Bangalore, Karnataka, India","AxisRooms is an online platform that facilitates hotels by managing their inventory, pricing, bookings, and distribution.",2011,23/02/2011,https://axisrooms.com,12.79672000000005,77.70657000000006
665,Flytta,https://www.crunchbase.com/organization/flytta-innovation-private-limited,"Home Services, Logistics, Rental Property","Bangalore, Karnataka, India",A Next Generation Mobility Company,2016,01/01/2016,http://goflytta.com,12.966180000000065,77.58690000000007
666,CertifyMe.Online,https://www.crunchbase.com/organization/certifyme-online,SaaS,"Bangalore City, Karnataka, India","An end-to-end solution for creating, issuing, and managing Digital Credentials",2020,01/08/2020,https://certifyme.online/,12.966180000000065,77.58690000000007
667,Almug Technologies,https://www.crunchbase.com/organization/almug-technologies,"Artificial Intelligence, Machine Learning, Natural Language Processing, Predictive Analytics, Software","Bangalore, Karnataka, India","Almug provides structured/unstructured data management solutions using AI,enabling businesses to recognize the value inherent in their data.",2015,01/01/2015,http://almug.ai,12.95446000000004,77.70025000000004
668,artbandhu,https://www.crunchbase.com/organization/artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media","Bangalore, Karnataka, India","Artbandhu is an creative career discovery platform, providing curated and personalized recommendations for passion and gig-based job seekers",2017,08/09/2017,https://www.artbandhu.com,12.966180000000065,77.58690000000007
669,NextGen,https://www.crunchbase.com/organization/nextgen,"CleanTech, Consulting, Energy, Enterprise Software, Information Technology","Bangalore, Karnataka, India","NextGen, previously incubated at NSRCEL, IIM-Bangalore and TBI, BITS-Pilani is one of India's fastest growing cleantech companies.",2009,01/01/2009,http://nextgenpms.com/,13.034100000000024,77.55780000000004
670,Three Wheels United,https://www.crunchbase.com/organization/three-wheels-united,"Electric Vehicle, Finance, FinTech, Transportation","Bangalore, Karnataka, India",Three Wheels United is a tech-enabled financier of light electric vehicles.,2016,01/01/2016,http://www.threewheelsunited.com/,12.973420000000033,77.61563000000007
671,Harivara,https://www.crunchbase.com/organization/harivara,"E-Commerce, Event Management, Religion, Service Industry","Bangalore, Karnataka, India",Harivara is an Online Pooja Booking Service Portal that enables its users to connect with Pandits.,2014,01/12/2014,https://www.harivara.com,12.960800000000063,77.59139000000005
672,FRS Labs,https://www.crunchbase.com/organization/frs-labs,"Biometrics, Fraud Detection","Bangalore, Karnataka, India","FRS Labs is a technology company specialising in customer on-boarding (KYC), authentication and fraud prevention solutions for businesses.",2010,01/01/2010,http://www.frslabs.com/,12.91453000000007,77.63277000000005
673,EmaChat,https://www.crunchbase.com/organization/emachatluxe,,"Bangalore, Karnataka, India","EmaChat Luxe, an exclusive luxury brand for couples with a contemporary approach to a serene lifestyle.",2020,28/12/2020,https://emachat.com,12.966180000000065,77.58690000000007
674,OMI,https://www.crunchbase.com/organization/omi-e710,"Apps, Fitness, Health Care, Wellness","Bangalore, Karnataka, India","OMI builds a holistic spiritual wellness platform that using the values of astrology, yoga, meditation, and Ayurveda.",2020,01/01/2020,http://www.omi.in,12.966180000000065,77.58690000000007
675,Nine Star,https://www.crunchbase.com/organization/nine-star,"Consumer Goods, Retail, Sports","Bangalore, Karnataka, India","Nine Star is a multi-channel retailer of equipment and apparel related to the skate, surf, snow and BMX action sports categories.",2000,01/09/2000,http://ninestar.com,12.989080000000058,77.54561000000007
676,IN3D,https://www.crunchbase.com/organization/in3d,Software,"Bangalore, Karnataka, India",IN3D offers state of the art software solutions designed for the woodworking industry.,2018,01/01/2018,https://in3d.co,12.966180000000065,77.58690000000007
677,SunwizTech India,https://www.crunchbase.com/organization/sunwiztech-india,Mobile,"Bangalore, Karnataka, India",SunwizTech India is a mobile applications based on android,2015,01/01/2015,http://www.sunwiztech.com/,12.976560000000063,77.71035000000006
678,Padhaaro,https://www.crunchbase.com/organization/padhaaro,"Tourism, Travel","Bangalore, Karnataka, India",On-demand local travel experiences,2012,01/01/2012,http://www.padhaaro.com/,12.919860000000028,77.58400000000006
679,WaterScience,https://www.crunchbase.com/organization/waterscience-171c,"Manufacturing, Retail, Water, Water Purification","Bangalore, Karnataka, India",WaterScience manufactures filters that purify water for non-drinking use cases for the masses.,2014,01/01/2014,https://www.waterscience.in/,12.966180000000065,77.58690000000007
680,Pikkol,https://www.crunchbase.com/organization/pikkol,"Consumer, Freight Service, Logistics, Transportation","Bangalore, Karnataka, India",We are a technology centric logistics firm. We intend to revolutionise how certain segments in logistics currently operate.,2015,01/03/2015,http://www.pikkol.com,12.966180000000065,77.58690000000007
681,Hyperpure,https://www.crunchbase.com/organization/wotu,"E-Commerce, Food and Beverage, Marketplace, Restaurants","Bangalore, Karnataka, India",Hyperpure is a B2B marketplace for trading commodities in the Food & Beverage industry.,2016,01/01/2016,http://wotu.in/#/,12.966180000000065,77.58690000000007
682,Corefactors,https://www.crunchbase.com/organization/corefactors,"Customer Service, Information Technology, Marketing, Marketing Automation, SaaS, Sales, Sales Automation, Ticketing","Bangalore, Karnataka, India","Corefactors offers Integrated Business Suite, Teleduce. It helps businesses to sell faster, resolve faster and scale faster",2013,21/02/2013,https://www.corefactors.in/,12.966180000000065,77.58690000000007
683,Sputnik Brain,https://www.crunchbase.com/organization/clarila,"Health Care, Internet","Bangalore, Karnataka, India",Delight through the brain,2020,18/09/2020,https://sputnikbrain.com/,12.966180000000065,77.58690000000007
684,Mobiotics,https://www.crunchbase.com/organization/mobiotics,"Advertising, Computer, Loyalty Programs, Software","Bangalore, Karnataka, India","QCampaigns is a mobile loyalty management platform for retailers and brands that helps them to get new consumers into store, convert them",2011,01/11/2011,http://www.mobiotics.com/,12.909220000000062,77.64041000000003
685,LabourNet,https://www.crunchbase.com/organization/labournet,Social Media,"Bangalore, Karnataka, India",LabourNet is a social enterprise improving the lives of workers & their customers.,2008,01/01/2008,https://www.labournet.in/,12.966180000000065,77.58690000000007
686,Online Prasad,https://www.crunchbase.com/organization/online-prasad,"E-Commerce, Retail, Shopping","Bangalore, Karnataka, India","Today’s India is undergoing momentous change. We Indians are progressing fast. But, the best part of this progess is that we stay true to",2012,01/01/2012,http://onlineprasad.com,12.966180000000065,77.58690000000007
687,BOOSTurSKILLS,https://www.crunchbase.com/organization/boosturskills,Education,"Bangalore, Karnataka, India",Online Training & Skill Assessment,2014,01/01/2014,http://boosturskills.in/,12.966180000000065,77.58690000000007
688,Channel Mentor IT,https://www.crunchbase.com/organization/channel-mentor-it,"Real Time, Software","Bangalore, Karnataka, India",Deep expertise in automation of business process defines Channel Mentor. Channel Mentor helps its customers identify oportunities in,2003,01/01/2003,http://channelmentor.com,12.947760000000073,77.56974000000008
689,NoPo Nanotechnologies,https://www.crunchbase.com/organization/nopo-nanotechnologies-india-private-limited,"Advanced Materials, Nanotechnology, Space Travel","Bangalore, Karnataka, India","Space, Carbon Nanotubes, Advanced Material",2011,28/02/2011,https://www.nopo.in,12.844300000000032,77.68511000000007
690,Streak,https://www.crunchbase.com/organization/streak-a216,"Financial Services, Payments","Bangalore, Karnataka, India",Streak operates as a rewarding digital bank for teenagers.,2020,01/01/2020,https://www.streakcard.com/,12.966180000000065,77.58690000000007
691,WiZN Systems,https://www.crunchbase.com/organization/wizn-systems,"Automotive, Enterprise Software, Smart Home","Bangalore, Karnataka, India",WiZN Systems offers home automation solutions and products that can be controlled by connecting them to the internet.,2013,01/01/2013,https://myeglu.com/,12.987250000000074,77.60943000000003
692,iamwire,https://www.crunchbase.com/organization/iamwire,FinTech,"Bangalore, Karnataka, India",iamwire is an upcoming financial and management services company operating in emerging technology verticals.,2015,01/03/2015,http://www.iamwire.com,12.966180000000065,77.58690000000007
693,Cooolio Online,https://www.crunchbase.com/organization/cooolio-online,"Consulting, Software","Bangalore, Karnataka, India",Cooolio is an online portfolio company that conceptualizes and develops web- and mobile-based technology applications.,2010,01/04/2010,http://www.cooolio.com,12.966180000000065,77.58690000000007
694,AlphaBeta Labs,https://www.crunchbase.com/organization/alphabeta-labs,"Automotive, EdTech, Education, Internet, Payments, SaaS","Bangalore, Karnataka, India",We built @FoodKhoj for enabling easy food options for students in campuses.,2010,01/01/2010,http://alphabetalabs.com,12.90166000000005,77.65056000000004
695,Pristech,https://www.crunchbase.com/organization/pristech-analytics,"Analytics, Data Visualization, Infrastructure, Mobile Apps, Parking, Predictive Analytics, Software","Bangalore, Karnataka, India","At Pristech, they utilize the best analytics tools and methods.",2013,22/07/2013,https://www.pparke.in/,12.863520000000051,74.83462000000003
696,visionbot.com,https://www.crunchbase.com/organization/visionbot-com,"Artificial Intelligence, Computer Vision, Facial Recognition, Image Recognition, Machine Learning, SaaS, Software","Bangalore, Karnataka, India",Computer Vision as Service Platform,2016,19/12/2016,https://visionbot.com/,12.966180000000065,77.58690000000007
697,SpotPlay,https://www.crunchbase.com/organization/spotplay,"Digital Entertainment, Internet, Public Transportation","Bangalore, Karnataka, India",SpotPlay offers free entertainment in travel when connected to SpotPlay WiFi.,2016,01/01/2016,https://spotplay.co/business/,13.034260000000074,77.55801000000008
698,MyBabyCart,https://www.crunchbase.com/organization/mybabycart,"Children, E-Commerce, Internet, Women's","Bangalore, Karnataka, India",Online Eco-System for Women Entrepreneurs from Home,2010,01/01/2010,http://mybabycart.com/,12.966180000000065,77.58690000000007
699,Evibe Technologies,https://www.crunchbase.com/organization/evibe-technologies,"Event Management, Events","Bangalore City, Karnataka, India",Evibe is an online platform that enables individuals to find vendors necessary to host children’s parties.,2014,10/02/2014,https://evibe.in,12.95446000000004,77.70025000000004
700,Wishfie,https://www.crunchbase.com/organization/wishfie,"Apps, Content, Internet, Video Editing","Bangalore, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic.,2017,03/01/2017,http://www.wishfie.com,12.966180000000065,77.58690000000007
701,Linkstreet Learning,https://www.crunchbase.com/organization/linkstreet,"Collaboration, E-Learning, Education, Software","Bangalore, Karnataka, India","We believe that learning is an integral part of the growth of every organization. We enable anytime, anywhere learning & collaboration.",2011,01/01/2011,http://linkstreet.in/,12.966180000000065,77.58690000000007
702,Smerkato,https://www.crunchbase.com/organization/smerkato,E-Commerce,"Bangalore, Karnataka, India",Making wholesale buying simple for businesses!,2018,01/01/2018,http://www.smerkato.com,12.966180000000065,77.58690000000007
703,DheeYantra,https://www.crunchbase.com/organization/dheeyantra-research-labs,"Artificial Intelligence, Information Services, Information Technology, Robotics, Software","Bangalore, Karnataka, India",Dhee.AI is the flagship Conversational VOICE AI platform from DheeYantra. Dhee is pioneers in English and Indian Language AI.,2017,02/02/2017,http://www.dheeyantra.com,12.966180000000065,77.58690000000007
704,Pin Click,https://www.crunchbase.com/organization/pin-click,"Property Management, Real Estate Investment","Bangalore, Karnataka, India",Bangalore-based real estate portal,2013,01/11/2013,http://www.pinclick.com/,12.929460000000063,77.68344000000008
705,Neurosynaptic,https://www.crunchbase.com/organization/neurosynaptic,Hospital,"Bangalore, Karnataka, India",Neurosynaptic Communications develops ICT based products and technologies which can create a positive impact on the global rural population.,2002,01/01/2002,http://neurosynaptic.com,12.966180000000065,77.58690000000007
706,Epiance,https://www.crunchbase.com/organization/epiance,"Computer, Information Technology, Software","Bangalore, Karnataka, India",Epiance helps businesses manage their IT driven business process transformations successfully.,2001,01/01/2001,http://www.epiplex500.com/,12.966180000000065,77.58690000000007
707,Bicycle AI,https://www.crunchbase.com/organization/bicycle-ai,"Artificial Intelligence, Consulting, Internet, Machine Learning, Outsourcing","Bangalore, Karnataka, India",Bicycle is a full-stack customer support service provider.,2016,01/01/2016,http://bicycleai.com/,12.966180000000065,77.58690000000007
708,Citizengage,https://www.crunchbase.com/organization/citizengage,"Business Information Systems, Communities, Energy, Non Profit, Waste Management","Bangalore, Karnataka, India", Citizengage  helps communities and businesses maintain value of their waste at source.,2015,01/01/2015,http://citizengage.co/,12.990170000000035,77.60583000000008
709,SportsCafe,https://www.crunchbase.com/organization/sportscafe,"Advertising, News, Publishing, Social Media, Sports","Bangalore, Karnataka, India",Sport Media Network,2018,01/01/2018,https://sportscafe.in/,12.975990000000024,77.63929000000007
710,Slingloft,https://www.crunchbase.com/organization/slingloft,"Enterprise Software, Retail, SaaS","Bangalore, Karnataka, India",Slingloft is a multi-merchant reward platform for mid-scale business in India,2017,16/04/2017,https://www.slingloft.in,12.982200000000034,77.60839000000004
711,Health Vectors,https://www.crunchbase.com/organization/health-vectors,"Analytics, Health Care, Predictive Analytics","Bangalore, Karnataka, India","Revolutionizing personal health, providing people clinically relevant clarity and simple actionable insights via predictive analytics",2012,16/06/2012,https://www.healthvectors.in,12.942300000000046,77.69671000000005
712,Tyutee,https://www.crunchbase.com/organization/tyutee,"Education, Peer to Peer, SaaS","Bangalore, Karnataka, India","Tyutee is the Next Gen SaaS-based peer-to-peer student learning, networking, and reskilling platform.",2017,01/01/2017,https://tyutee.com/,12.966180000000065,77.58690000000007
713,PakkaProfile,https://www.crunchbase.com/organization/pakkaprofile,"Analytics, Artificial Intelligence, Gaming, Internet","Bangalore, Karnataka, India",PakkaProfile offers facial & speech recognition technologies and data analytics that bridges the gap between companies and the workforce.,2019,01/01/2019,http://www.pakkaprofile.com/,12.966180000000065,77.58690000000007
714,FirstU,https://www.crunchbase.com/organization/firstu,"Consumer, Service Industry","Bangalore, Karnataka, India",FirstU providing a subscription-based service for vehicle maintenance.,2016,01/01/2016,https://firstu.in/,12.993260000000078,77.66149000000007
715,eSthenos Technologies,https://www.crunchbase.com/organization/esthenos-technologies,"Analytics, Business Intelligence, CRM, Financial Services, FinTech, Productivity Tools","Bangalore, Karnataka, India",ESthenos Technologies is an efficient and customer centric fin-tech platform for financial institutions.,2015,01/01/2015,https://www.esthenos.com,12.95446000000004,77.70025000000004
716,Redeminds,https://www.crunchbase.com/organization/redeminds,"Career Planning, EdTech","Bangalore, Karnataka, India",Redeminds is an end-to-end career guidance platform that blends AI & behavioral science to empower students to discover their true potential,2021,02/07/2021,https://www.redeminds.com,12.964800000000025,77.60206000000005
717,Innoz,https://www.crunchbase.com/organization/innoz,"Apps, Mobile, Search Engine, Software","Bangalore, Karnataka, India",Innoz is an Indian mobile technology start-up that provides solutions for mobile search applications and wireless market.,2008,15/09/2008,http://innoz.in,12.936220000000048,77.61672000000004
718,VST Travels,https://www.crunchbase.com/organization/vst-travels,"Tourism, Travel","Bangalore, Karnataka, India",A startup at Kerala State Industrial Development Corporation.,2015,01/08/2015,https://in.via.com/bus-tickets/operator-vst-aps-travels,12.962780000000066,77.56627000000003
719,ten3T,https://www.crunchbase.com/organization/ten3t,"Health Care, Medical, Medical Device","Bangalore, Karnataka, India",ten3T is a medical grade wearable device startup.,2014,01/01/2014,http://ten3thealth.com/,12.979980000000069,77.64048000000008
720,Cogknit Semantics,https://www.crunchbase.com/organization/cogknit-semantics,"Enterprise Software, SEO","Bangalore, Karnataka, India","Cogknit Semantics Private Limited is an ISO 9001:2008 certified innovative product company based out of Bangalore, India.",2009,01/01/2009,http://www.cogknit.com/,12.910460000000057,77.58888000000007
721,SimplyMoveIn,https://www.crunchbase.com/organization/simplymovein,"Assisted Living, Internet, Real Estate","Bangalore, Karnataka, India","Rent Beds, Rooms, Flats, Villas | No Brokerage, No Deposit, All House Services included | SimplyMoveIn",2015,01/09/2015,http://www.simplymovein.com,12.966180000000065,77.58690000000007
722,Travelspice,https://www.crunchbase.com/organization/travelspice,"Hotel, Online Portals, Travel Agency","Bangalore, Karnataka, India","India’s 1st , only and rapidly growing Opaque Platform to increase Occupancy of Hotels",2017,01/01/2017,https://www.travelspice.com/,12.964350000000024,77.59682000000004
723,Neuu Store,https://www.crunchbase.com/organization/neuu-store,"Computer, Retail","Bangalore, Karnataka, India",Neuu Store is a new micro-retail company building a network of smart vending machines.,2018,01/01/2018,http://www.neuustore.com/,12.935380000000066,77.51802000000004
724,AutoWiz,https://www.crunchbase.com/organization/autowiz,"Analytics, Information Technology, Internet of Things, Software","Bangalore, Karnataka, India",AutoWiz is a telematics solution for personal and commercial car owners and businesses,2015,01/07/2015,http://www.autowiz.in/,12.966180000000065,77.58690000000007
725,TalentBridge Technologies,https://www.crunchbase.com/organization/talentbridge-technologies,"Information Technology, Software","Bangalore, Karnataka, India",TalentBridge Technologies is Bangalore based company which provides a cloud technology infrastructure focusing on employability,2008,01/01/2008,http://www.talentbridge.co.in,12.95446000000004,77.70025000000004
726,Cab Dost,https://www.crunchbase.com/organization/cab-dost,"Advice, Consulting, Financial Services, Information Technology, Social Assistance","Bangalore, Karnataka, India",Cab Dost provides taxi drivers with expert advisory services related to tax planning to ensure that they secure a financial future.,2016,01/01/2016,http://www.cabdost.com/,12.966180000000065,77.58690000000007
727,Helo Protocol,https://www.crunchbase.com/organization/helo-protocol,Professional Networking,"Bangalore, Karnataka, India",Helping SMB's & micro entrepreneurs become independent and Enabling ease of doing business for them,2019,02/12/2019,https://www.heloprotocol.in/,12.958280000000059,77.60536000000008
728,Green Robot Machinery,https://www.crunchbase.com/organization/green-robot-machinery,"AgTech, Information Services, Information Technology, Internet of Things, Robotics","Bangalore, Karnataka, India",Green Robot Machinery is a Farm Robotics Company focusing on machines.,2014,01/01/2014,http://www.grobomac.com/,12.966180000000065,77.58690000000007
729,Aspiro,https://www.crunchbase.com/organization/aspiro-b5a3,"Artificial Intelligence, Customer Service, SaaS","Bangalore, Karnataka, India",Aspiro is a voice AI driven sales coaching SaaS solution.,2020,01/01/2020,https://www.letsaspiro.com/,12.924130000000048,77.56411000000008
730,Formi,https://www.crunchbase.com/organization/formi,"Affiliate Marketing, Event Promotion, Ticketing","Bangalore, Karnataka, India",India's first ever ticketing platform that bridges affiliate marketers and event organizers,2021,15/05/2021,https://formi.co.in,12.989530000000059,77.55867000000006
731,Hasgeek,https://www.crunchbase.com/organization/hasgeek,"Events, Social Network, Training","Bangalore, Karnataka, India",A welcoming space for practitioners to talk and share experiences.,2010,15/12/2010,https://hasgeek.com/,12.961480000000051,77.64432000000005
732,Smarter Dharma,https://www.crunchbase.com/organization/smarter-dharma,"Environmental Consulting, Renewable Energy","Bangalore, Karnataka, India",Smarter Dharma is a social enterprise operating spectrum-wide in the field of sustainability.,2012,01/01/2012,http://www.smarterdharma.com/,12.966180000000065,77.58690000000007
733,TunePatrol,https://www.crunchbase.com/organization/tunepatrol,"Advertising, Music","Bangalore, Karnataka, India","TunePatrol is a marketing and monetization tool for musicians, band managers and music labels.",2012,30/03/2012,http://tunepatrol.com,12.966180000000065,77.58690000000007
734,Senzopt Technologies,https://www.crunchbase.com/organization/senzopt-technologies,"Energy, Industrial Automation, Internet, Lighting, Manufacturing, Software","Bangalore, Karnataka, India",Senzopt Technologies is a smart building startup working on Energy efficiency and indoor air quality control.,2015,23/10/2015,http://www.senzopt.com,12.95446000000004,77.70025000000004
735,FORMCEPT,https://www.crunchbase.com/organization/formcept,"Analytics, Big Data, Data Mining, Predictive Analytics, SaaS, Software","Bangalore, Karnataka, India","FORMCEPT is an effort to make content analysis accessible to everyone, be it an enterprise, an individual or a device.",2011,10/10/2011,http://www.formcept.com,12.937160000000063,77.60512000000006
736,decodem.ai,https://www.crunchbase.com/organization/decodem-ai,"Analytics, Artificial Intelligence, Internet, Machine Learning","Bangalore, Karnataka, India","A one stop platform for byte sized insights. ""Code+AI"" based machines auto generate insights like playlists.",2019,25/09/2019,https://www.decodem.ai/,12.966180000000065,77.58690000000007
737,MegaExams,https://www.crunchbase.com/organization/megaexams,"Big Data, Education, Software","Bangalore, Karnataka, India",MegaExams helps educators and students create assessments quickly.,2015,01/01/2015,https://www.megaexams.com,12.966180000000065,77.58690000000007
738,Agilean Solutions Private Limited,https://www.crunchbase.com/organization/agilean-solutions-private-limited,"Enterprise Applications, Natural Language Processing, SaaS, Software","Bangalore, Karnataka, India",Agilean solutions is B2B enterprise software automation tools to enhance organizational productivity and enable automation.,2016,22/04/2016,https://www.agilean.in/,12.859600000000057,77.43064000000004
739,dateIITians,https://www.crunchbase.com/organization/dateiitians,"Apps, Social Media","Bangalore, Karnataka, India",dateIITians is a social dating platform for single men and women.,2012,22/01/2012,http://www.dateiitians.com,12.966180000000065,77.58690000000007
740,Sneed,https://www.crunchbase.com/organization/sneed,"Coworking, Ediscovery, Real Estate","Bangalore, Karnataka, India",Sneed -The Fastest and Easiest way to Find and Book your Workspace.,2015,01/06/2015,https://sneed.in,12.956250000000068,77.63743000000005
741,School of Meaningful Experiences,https://www.crunchbase.com/organization/school-of-meaningful-experiences,E-Learning,"Bangalore, Karnataka, India",School of Meaningful Experiences is a skills and learning development focussed education-technology startup.,2018,01/01/2018,https://some.education/,12.966180000000065,77.58690000000007
742,GetLook,https://www.crunchbase.com/organization/getlook,"Beauty, Fitness, Health Care, Wellness","Bangalore, Karnataka, India",GetLook is a beauty service provider at home,2015,01/01/2015,http://www.getlook.in/,12.966180000000065,77.58690000000007
743,KIS Group,https://www.crunchbase.com/organization/kis-group,"Content, Education, Internet, Photography, Publishing, Video","Bangalore, Karnataka, India","KIS Group is a members-only website that offers access to expert-driven videos about fashion, culinary arts, life skills, and more.",2012,01/01/2012,http://www.kisgroup.com,12.966180000000065,77.58690000000007
744,Xiro,https://www.crunchbase.com/organization/xiro,FinTech,"Bangalore, Karnataka, India",Xiro develops one-of-a-kind and distinctive new era global fintech.,2022,06/02/2022,https://www.xiro.club,12.966180000000065,77.58690000000007
745,Ontrack Technologies Pvt. Ltd,https://www.crunchbase.com/organization/ontrack-technologies-pvt-ltd,"Mobile Apps, Rental, Retail","Bangalore, Karnataka, India",Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2016,26/02/2016,http://www.on-track.in/,12.95446000000004,77.70025000000004
746,Biomoneta Research,https://www.crunchbase.com/organization/biomoneta-research,"Biotechnology, Health Care, Life Science","Bangalore, Karnataka, India",Biomoneta Research is a health tech startup that aims to prevent the transmission of infection in the hospital and the community.,2014,01/01/2014,https://www.biomoneta.com/,12.966180000000065,77.58690000000007
747,Foodmonk,https://www.crunchbase.com/organization/foodmonk,"Catering, Marketplace","Bangalore, Karnataka, India",Foodmonk is an online catering marketplace connecting customers to local caterers.,2015,01/01/2015,https://www.foodmonk.com,12.966180000000065,77.58690000000007
748,The Venturator,https://www.crunchbase.com/organization/the-venturator,"Banking, Crowdfunding, Financial Services, Internet","Bangalore, Karnataka, India",Fundraising platform for startups.,2016,06/06/2016,Http://theVenturator.com,12.966180000000065,77.58690000000007
749,100Pillars Constructions,https://www.crunchbase.com/organization/100pillars-constructions,"Construction, Interior Design","Bangalore, Karnataka, India",Contracting Company,2018,08/11/2018,https://100pillars.in/,12.977370000000064,77.52616000000006
750,Textual Analytics Solutions,https://www.crunchbase.com/organization/textual-analytics-solutions,"Analytics, Information Technology","Bangalore, Karnataka, India",Textual Analytics Solutions provides text analytics and natural language processing services.,2004,01/01/2004,http://www.textualanalytics.com,13.001030000000071,77.54300000000006
751,Earth2Orbit,https://www.crunchbase.com/organization/earth2orbit,"Aerospace, Consulting, Database, Information Services","Bangalore, Karnataka, India","Earth2Orbit is an aerospace company that supports global climate action by making human activities, both urban and rural climate-smart.",2007,01/01/2007,http://www.earth2orbit.com,12.966180000000065,77.58690000000007
752,HaQien,https://www.crunchbase.com/organization/haqien,"Cyber Security, Information Technology, Quantum Computing","Bangalore, Karnataka, India",HaQien specializes in securing data against cyberattacks by implementing post quantum cryptography.,2019,01/01/2019,https://www.haqien.com/,12.966180000000065,77.58690000000007
753,Lumiere Organic Farm,https://www.crunchbase.com/organization/lumiere-organic-venture,"E-Commerce, Food Processing, Organic Food, Restaurants","Bangalore, Karnataka, India",Lumiere is a seed-to-table organic product firm that provides healthy and safe food for all.,2002,01/01/2002,http://lumiere.co.in,12.977500000000077,77.69571000000008
754,Devas Multimedia,https://www.crunchbase.com/organization/devas-multimedia,"Information and Communications Technology (ICT), Satellite Communication, Telecommunications","Bangalore, Karnataka, India",Devas Multimedia is a satellite communication service provider company.,2004,01/01/2004,http://www.devasmedia.com/,12.966180000000065,77.58690000000007
755,Lukup Media,https://www.crunchbase.com/organization/lukup,"Advertising, Broadcasting, Content, Digital Media, Hardware, Internet, Software","Bangalore, Karnataka, India","Lukup Media offers Lukup Player, an application that is able to deliver interactive advertising and content to multiple screens and devices.",2010,13/12/2010,http://www.lukup.com,12.96013000000005,77.60294000000005
756,Nova Medical Centers,https://www.crunchbase.com/organization/nova-medical-centers,Health Care,"Bangalore, Karnataka, India",Nova Medical Centers is a network of medical facilities around the United States.,2009,01/01/2009,http://www.novamedicalcenters.com,12.933710000000076,77.61976000000004
757,3DSoC,https://www.crunchbase.com/organization/3dsoc,"3D Technology, Education, Mobile","Bangalore, Karnataka, India",3DSoC is a startup engaged in building an interactive 3D platform for the mobile.,2006,01/06/2006,http://www.3dsoc.com,12.966180000000065,77.58690000000007
758,iStream.com,https://www.crunchbase.com/organization/istream-com,"News, Video","Bangalore, Karnataka, India","We're an online #video service bringing the best #News (Live + VOD), hit #TV Shows and blockbuster #Movies in multiple languages.",2007,01/01/2007,http://www.istream.com,12.966180000000065,77.58690000000007
759,Startup Freak,https://www.crunchbase.com/organization/startup-freak,"Advertising, Small and Medium Businesses","Bangalore, Karnataka, India",Startup Freak provides social media marketing solutions for small- and medium-sized businesses.,2012,01/05/2012,http://www.startupfreak.com,12.966180000000065,77.58690000000007
760,Gungroo,https://www.crunchbase.com/organization/gungroo,"Android, Apps, Education, Edutainment, iOS, Messaging, Parenting","Bangalore, Karnataka, India",Roo Kids is a safe & fun chat instant messaging app for kids.,2012,01/04/2012,http://www.rookidsapp.com,12.936830000000043,77.61375000000004
761,Tikli,https://www.crunchbase.com/organization/tikli-in,"Beauty, E-Commerce, Fashion","Bangalore, Karnataka, India",Tikli is a Leading Fashion and Beauty Community https://www.tikli.in/,2017,01/01/2017,https://www.tikli.in/,12.92103000000003,77.58596000000006
