,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
422,ricago,https://www.crunchbase.com/organization/clonect-solutions,"Compliance, Enterprise Software, Government, Information Technology, Risk Management, Software","Bangalore, Karnataka, India",ricago is a comprehensive GRC & GST platform to discover and mitigate risks of non-compliance of an organization.,2014,01/01/2014,http://ricago.com,12.966180000000065,77.58690000000007
423,HomeTriangle,https://www.crunchbase.com/organization/home-triangle,"Home Renovation, Smart Home","Bangalore, Karnataka, India",HomeTriangle is a website where users can find home improvement professionals in their area.,2014,01/10/2014,https://hometriangle.com,12.966180000000065,77.58690000000007
424,Traveo Soft Pvt. Ltd.,https://www.crunchbase.com/organization/traveo-soft-pvt-ltd,"Mobile, Software, Travel","Bangalore, Karnataka, India",AI based Business Travel & Expense management,2015,01/07/2015,http://www.traveosoft.com,12.966180000000065,77.58690000000007
425,Thinklance,https://www.crunchbase.com/organization/thinklance,EdTech,"Bangalore, Karnataka, India",Thinklance is an AI based edtech company which helps students with the upskilling part and also gives placement assistance.,2021,15/05/2021,https://www.thinklance.in/,12.966180000000065,77.58690000000007
426,Amelioratebiotech,https://www.crunchbase.com/organization/amelioratebiotech,"Biotechnology, Business Development, Product Research","Bangalore, Karnataka, India",Amelioratebiotech is a diagnostic device development company.,2015,01/01/2015,http://amelioratebiotech.com/,12.966180000000065,77.58690000000007
427,Mintbook,https://www.crunchbase.com/organization/mintbook,"EdTech, Education, Internet of Things","Bangalore, Karnataka, India",Online Digital Library | Smart Learning Device,2013,30/12/2013,https://mintbook.com/,12.98168000000004,77.60993000000008
428,Astrogate Labs,https://www.crunchbase.com/organization/astrogate-labs,"Aerospace, Manufacturing","Bangalore, Karnataka, India",Astrogate Labs provides high-quality products related to space infrastructure.,2017,01/01/2017,http://astrogatelabs.com,12.966180000000065,77.58690000000007
429,Medimall,https://www.crunchbase.com/organization/medimall,"Health Care, Pharmaceutical","Bangalore, Karnataka, India",Medimall is an IoT enabled online health companion offering virtual healthcare services.,2020,05/07/2020,https://medimall.co.in,12.966180000000065,77.58690000000007
430,Ecogears,https://www.crunchbase.com/organization/ecogears,"Automotive, Electric Vehicle","Bangalore, Karnataka, India",Ecogears provides sustainable solutions for Electric Vehicle Charging in India and abroad with state-of-the-art EV chargers.,2014,31/07/2014,https://www.ecogears.in,12.966180000000065,77.58690000000007
431,AdWyze,https://www.crunchbase.com/organization/adwyze,"Advertising, E-Commerce, Mobile, SaaS, Social Media Marketing","Bangalore, Karnataka, India",Building a digital marketing automation and optimisation platform for Enterprise and SME advertisers.,2014,01/07/2014,http://adwyze.com/,12.966180000000065,77.58690000000007
